"filename", "language", "XML", "JSON", "HTML", "Dart", "YAML", "Markdown", "C++", "Swift", "Properties", "Groovy", "Java", "comment", "blank", "total"
"/home/mmd/projects/flutter/Farahosh/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md", "Markdown", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 5
"/home/mmd/projects/flutter/Farahosh/ios/Runner/Base.lproj/LaunchScreen.storyboard", "XML", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 38
"/home/mmd/projects/flutter/Farahosh/ios/Runner/Base.lproj/Main.storyboard", "XML", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 27
"/home/mmd/projects/flutter/Farahosh/ios/Runner/Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"/home/mmd/projects/flutter/Farahosh/lib/app/api.dart", "Dart", 0, 0, 0, 141, 0, 0, 0, 0, 0, 0, 0, 0, 43, 184
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/blocs/about_school/about_school_cubit.dart", "Dart", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/blocs/about_school/about_school_state.dart", "Dart", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 7, 35
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/blocs/calculator/calculator_cubit.dart", "Dart", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 32, 11, 88
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/blocs/calculator/calculator_state.dart", "Dart", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 6, 25
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/blocs/calendar/calendar_cubit.dart", "Dart", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 8, 44
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/blocs/calendar/calendar_state.dart", "Dart", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/blocs/chronometer/chronometer_cubit.dart", "Dart", 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 7, 45
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/blocs/chronometer/chronometer_state.dart", "Dart", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 8, 34
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/blocs/counsel/counsel_cubit.dart", "Dart", 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 11, 59
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/blocs/counsel/counsel_state.dart", "Dart", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 7, 28
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/blocs/counsels/counsels_cubit.dart", "Dart", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 7, 37
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/blocs/counsels/counsels_state.dart", "Dart", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 6, 16
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/blocs/faracoin/faracoin_cubit.dart", "Dart", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 5, 23
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/blocs/faracoin/faracoin_state.dart", "Dart", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 6, 18
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/blocs/faracoin_guide/faracoin_guide_cubit.dart", "Dart", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 5, 30
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/blocs/faracoin_guide/faracoin_guide_state.dart", "Dart", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 6, 16
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/blocs/gallery/gallery_cubit.dart", "Dart", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/blocs/gallery/gallery_state.dart", "Dart", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/blocs/gift_list/gift_list_cubit.dart", "Dart", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 7, 33
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/blocs/gift_list/gift_list_state.dart", "Dart", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 5, 15
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/blocs/handout.dart", "Dart", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 5, 23
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/blocs/heart_writes/heart_writes_cubit.dart", "Dart", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 8, 39
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/blocs/heart_writes/heart_writes_state.dart", "Dart", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 5, 15
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/blocs/leitner/leitner_cubit.dart", "Dart", 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 12, 64
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/blocs/leitner/leitner_state.dart", "Dart", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 7, 24
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/blocs/leitner/new_leitner/new_leitner_cubit.dart", "Dart", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 5, 28
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/blocs/leitner/new_leitner/new_leitner_state.dart", "Dart", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/blocs/leitner_box/leitner_box_cubit.dart", "Dart", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 8, 43
